code,standard,short name,definition,link,units,Preferred Label
SDN:P01::POTMS601,Sea Data Network,POTMS601,Computed from CTD temperature data calibrated against IPTS-68 scale,http://vocab.nerc.ac.uk/collection/P01/current/POTMS601/,Degree Celcius,"Potential temperature of the water body by CTD and computation from pressure, salinity and IPTS-68 temperature using UNESCO algorithm"
SDN:P01::PRESPR01,Sea Data Network,PRESPR01,The force per unit area exerted by the water column on a mobile sensor located in the water column.,http://vocab.nerc.ac.uk/collection/P01/current/PRESPR01/,Decibars,Pressure (spatial coordinate) exerted by the water body by profiling pressure sensor and correction to read zero at sea level
SDN:P01::PSALST01,Sea Data Network,PSALST01,This is the preferred term for this definition. Alternative term PSALST02 is included to cover cases where there are two sensors of the same type contributing to the data set and referential integrity considerations prevent a usage of a single code.,http://vocab.nerc.ac.uk/collection/P01/current/PSALST01/,,Practical salinity of the water body by CTD and computation using UNESCO 1983 algorithm
SDN:P01::SIGTPR01/,Sea Data Network,SIGTPR01,This is the preferred term for this definition. Alternative term SIGTPR02 is included to cover cases where there are two sensors of the same type contributing to the data set and referential integrity considerations prevent a usage of a single code.,http://vocab.nerc.ac.uk/collection/P01/current/SIGTPR01/,,Sigma-theta of the water body by CTD and computation from salinity and potential temperature using UNESCO algorithm
SDN:P01::SVELCT01,Sea Data Network,SVELCT01,Computed value from CTD temperature and salinity data,http://vocab.nerc.ac.uk/collection/P01/current/SVELCT01/,meters per second,Sound velocity in the water body by CTD and computation from temperature and salinity by unspecified algorithm
SDN:P01::TEMPS901,Sea Data Network,TEMPS901,Unavailable,http://vocab.nerc.ac.uk/collection/P01/current/TEMPS901/,Degree Celcius,Temperature (ITS-90) of the water body by CTD or STD
SDN:P01::TEMPSD01,Sea Data Network,TEMPSD01,The square root of the average of the squares of deviations about the mean of a set of values of the specified measurement.,http://vocab.nerc.ac.uk/collection/P01/current/TEMPSD01/,Degree Celcius,Temperature (ITS-90) standard deviation of the water body
SDN:P01::VOLTAGE_DOXY,Sea Data Network,VOLTAGE_DOXY,,,,
SDN:S06::S0600167,Sea Data Network,S0600167,The vertical location of an object or an observation in a water body or in the sediment expressed as the distance below a specified datum.,http://vocab.nerc.ac.uk/collection/S06/current/S0600167/,Meters,Depth (spatial coordinate)
Sigma-t00,,,,,,
Svel,,,,,,
T090C,,,,,,
Temp_SDEV,,,,,,
V5,,,,,,
wetCDOM,,,,,,
